Component Name#info,System,URL#info,Component Description#info,Source,Component Type,Function,Maturity/status,Domain Community,Steward Organization,References-Text#info,Protocols,InterchangeFormats ,InputFileFormat,Input parameters,Output file format,InformationModels,Implementation,TimeToLive#info,#name,#img,
Activity Type Vocabulary,,http://www.rvdata.us/voc/activitytype,vocabulary listing on a web page (no machine interface?),,vocabulary,information exchange,Unknown,Ocean Science,Rolling Deck to Repository (R2R),,,,,,,,,,Activity Type Vocabulary,vocabulary.jpg,vocabulary
ADMS API Vocabulary,,http://vocab.deri.ie/admsapi,This a vocabulary used in the RESTful ADMS Exchange API,,vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,HTTP API,,,,,,,,ADMS API Vocabulary,vocabulary.jpg,vocabulary
Advanced Message Queuing Protocol (AMQP),,http://www.amqp.org,"AMQP enables complete interoperability for messaging middleware, both the networking protocol and the semantics of broker services are defined in AMQP. The AMQP model explicitly defines the server's semantics because interoperability demands the same semantics for any server implementation. To enable technology-neutral interoperability, AMQP defines an efficient wire-level format with modern features. Financial institution focus. Receive, Queue and route messages.  ISO/IEC 19464, also an OASIS adopted standard.",cicomponentREview,specification,information exchange,community Standard,,ISO | OASIS,,,,,,,,,,Advanced Message Queuing Protocol (AMQP),globe.jpg,specification
Advanced Regional Prediction System (ARPS) ,,http://www.caps.ou.edu/ARPS/download/code/pub/ARPS.docs/ARPS4DOC.PDF/arpsapxD.pdf,Vocabularies for regional to stormscale atmospheric modeling / prediction. Includes: Global Time-Dependent Prognostic Variable; Time-Dependent Diagnostic Variables Local to Each Time Step; Time-Dependent Diagnostic Variables Not Local to a Single Time Step; Time-Independent Variables; Time-Independent Parameters;  Parameters that May Change with Time,,Software,computation,Operational,Atmosphere,Center for Analysis and Prediction of Storms (CAPS),,human readable,pdf,,,,,,,Advanced Regional Prediction System (ARPS) ,software.png,Software
Africa Soil Information Service Data and Map Portal,Africa Soil Information Service (AfSIS),http://www.africasoils.net/data/data-portal-home1,Entry point for finding and getting AfSIS data,cicomponentREview,web site,data access,operational,Soil Science,Africa Soil Information Service,,,,,,,,,,Africa Soil Information Service Data and Map Portal,globe.jpg,web site
AgreementMaker,,http://agreementmaker.org/wiki/index.php/AgreementMaker,"user friendly, powerful, and flexible ontology and schema matching system. Last wiki update 2013",cicomponentREview,application,information exchange,operational,Data Systems,"Advances in Information Systems Laboratory, University of Illinois at Chicago",,,"RDFS, OWL, XML",,,,RDF/OWL,Java,,AgreementMaker,globe.jpg,application
AGRIS Application Profile,,http://www.fao.org/docrep/008/ae909e/ae909e00.htm,"The AGRIS Application Profile for the International Information System on Agricultural Sciences and Technology Guidelines on Best Practices for Information Object Description.  The goal of the AGRIS Application Profile (AGRIS AP) is to facilitate interoperability of metadata formats currently in use to enable linking of various types of agricultural information, therefore allowing users to perform cross-searches and other value added services. This approach would also facilitate the harvesting of data from participating countries; with the application of the AGRIS AP model, this harvesting process could be automated.",hli,specification,data management,Conceptual,Agriculture,UN Food and Agricultural Organization,,,,,,,,,,AGRIS Application Profile,globe.jpg,specification
AGROVOC,,http://aims.fao.org/standards/agrovoc,"AGROVOC is a controlled vocabulary covering all areas of interest of the Food and Agriculture Organization (FAO) of the United Nations, including food, nutrition, agriculture, fisheries, forestry, environment etc. It is published by FAO and edited by a community of experts.
AGROVOC consists of over 32,000 concepts available in 21 languages: Arabic, Chinese, Czech, English, French, German, Hindi, Hungarian, Italian, Japanese, Korean, Lao, Persian, Polish, Portuguese, Russian, Slovak, Spanish, Thai, Turkish and Ukrainian.",,vocabulary,data access,Operational,Agriculture,UN Food and Agricultural Organization,,,,,,,,"SKOS-XL, Linked Open Data (LOD)",,AGROVOC,vocabulary.jpg,vocabulary
Amazon EC2,Ocean Observatory Initiative (OOI),http://aws.amazon.com/,Cloud computing: remote virtual machine environment for Amazon Elastic Cloud.,cicomponentREview,cloud platform,,operational,,Amazon,,,,,,,,,,Amazon EC2,dataservice.jpg,cloud platform
Amino Acid Racemization (AAR) Data from NOAA,,http://www.ncdc.noaa.gov/paleo/aar.html,"Amino Acid Racemization (AAR) by location submitted by scientists.

Most amino acids can have two different configurations, ""D"" or ""L"". Living organisms generally have amino acids in the ""L"" configuration, but when the organism dies, the ratio of D/L moves slowly toward equilibrium, a process called racemization. Measuring the ratio of D/L in a geologic sample containing preserved amino acids can therefore allow calculations of the age of the sample (Source: NOAA)
",,database,data access,Operational,Geochronolgy,NOAA National Oceanographic Data Center,,,txt | pdf,,,,,,,Amino Acid Racemization (AAR) Data from NOAA,database.jpg,database
AMMA Data Catalogue,,http://catalogue.amma-international.org/,"Catalog of geodesy information of West Africa and Gulf of Guinea.

The AMMA project includes in situ measurements at many locations of West Africa and in the Gulf of Guinea, an intensive use of satellite data and diverse modelling studies. Therefore, the AMMA database aims at storing a great amount and a large variety of data, and at providing the data as rapidly and safely as possible to the AMMA research community. In order to stimulate the exchange of information and collaboration between researchers from different disciplines or using different tools, the database provides a detailed description of the products and uses standardized formats. The database is now developed jointly at MEDIAS-France in Toulouse and at IPSL in Paris, and will be mirrored in Niamey as early as 2008.",,catalog,data storage,Unknown,Geodesy,African Monsoon Multidisciplinary Analysis,,,,,,,,,,AMMA Data Catalogue,icon_catalog.jpg,catalog
Annotation CReatiON for Your Media (ACRONYM) Ontology,,http://vocab.deri.ie/acronym,"Ontology for describing wireless devices at the time that they function in the creation of a resource.

The Annotation CReatiON for Your Media (ACRONYM) ontology's purpose is to lend context from the real-world (Ambient Intelligence) to the creation of resources. More specifically, it can be used to capture the presence of relevant wireless devices at the time of resource creation. This ontology's original purpose is to be integrated with other ontologies from social networking, multimedia, geography and context-awareness to aid the semi-automatic annotation of media, but more generally it can be used for Ambient Intelligence applications. For example, it can be used to capture the unique Bluetooth addresses of devices near a cameraphone at the time of photograph capture and later link those addresses to the people that own those devices. Alternatively, it can be used to track the RFID addresses of products in a factory and update their status in an information system. The ontology is open to and welcomes extension with various other types of wireless addressing protocols/formats and application-specific semantics.",,vocabulary,data access,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,Annotation CReatiON for Your Media (ACRONYM) Ontology,vocabulary.jpg,vocabulary
Annotopia,World Wide Web (WWW),https://github.com/Annotopia/Annotopia,"Open Annotation services platform. Universal annotation hub, collections of modules that provide services for creating, persisting, searching and enriching annotation. OpenAnnotation compliant.  NIF and BioPortal connectors. Aggregate annotation and provide through single information exchange.  Defines an OpenAnnotation RESTful API.",cicomponentREview,cloud platform,annotation,operational,,Architected and developed by Dr. Paolo Ciccarese. Annotopia is a product of the MIND Informatics group - at Massachusetts General Hospital - directed by Tim Clark. http://www.slideshare.net/paolociccarese/annotopia-overview-by-paolo-ciccarese,,HTTP API,JSON-LD,,,,W3C Open Annotation,"Jena, Virtuoso, JSON-LD internal objects, Spring Security, OpenID, OpenAuth",,Annotopia,dataservice.jpg,cloud platform
Antarctic and Southern Ocean Data Portal (ASODS),,http://www.marine-geo.org/portals/antarctic/,,hli,web site,Data access,,Marine Geoscience,Integrated Earth Data Applications,,,,,,,,,,Antarctic and Southern Ocean Data Portal (ASODS),globe.jpg,web site
Antarctic Master Directory (AMD),International Directory Network (IDN),http://idn.ceos.org/portals/Home.do?Portal=amd&MetadataType=0; WFS to search directory: http://www.usap-data.org/exe/mapserv?map=/public/mgg/web/www.usap-data.org/htdocs/services/ogc.map&service=wfs&version=1.0.0&request=getcapabilities,Global Change Master Directory portal for Antarctic data,cicomponentREview,web site,discovery,operational,Polar Science,NASA GCMD CEOS,,WFS,XML,,,,,,,Antarctic Master Directory (AMD),globe.jpg,web site
Antarctic Meteorological Research Center Repository for Archiving and Managing and Accessing Diverse Data (AMRC RAMADDA),,https://amrc.ssec.wisc.edu/repository,currently contains no content...,,Data Access,,,Climatology,Antarctic Meteorological Research Center,,,,,,,,,,Antarctic Meteorological Research Center Repository for Archiving and Managing and Accessing Diverse Data (AMRC RAMADDA),dataservice.jpg,Data Access
ANTARES,Fixed point Open Ocean Observatory network (FixO3),http://www.fixo3.eu/observatory/antares/,"Multidisciplinary, permanent marine observatory providing high-bandwidth real-time data transmission from deep-sea for geosciences and marine environmental sciences. Site is part of the MOOSE network providing real-time data transmission through two deep cabled moorings. These moorings are complemented by stand-alone mooring near the junction box. Physical and biogeochemical parameters recorded by autonomous sensors with regular maintenance. In addition monthly ship occupation for CTD profiles and seawater collection. Cabled extension of the neutrino telescope is offering connectors for direct link to shore in addition to operational seismometer already in place.",hli,platform,data acquisition,Operational,Ocean Science,CNRS-IFREMER-CPPM,,,ASCII NetCDF,,,,,,,ANTARES,globe.jpg,platform
Antelope ORB  ,,"http://www.brtt.com/software.html 
http://www.lindquistconsulting.com/antelope.php","BRTT Antelope is a real-time execution environment for data acquisition and manipulation processes. It consists of a RTexec scheduler, the Datascope hierachical database and the ORB (Object Ring Buffer) that stores and forwards data packets from producers to consumers. Data acquisition processes can be physically separate from the ORB as long as there is a reliable network. ORBs can be bridged to further ORBs, thereby creating a scalable data acquisition architecture. A substantial set of instrument drivers are existing for the Antelope platform, in particular the sophisticated Quanterra Q330 data logger driver. Antelope is used in the USArray ANL and RoadNet",cicomponentREview,execution environment,data acquisition,operational,Environmental science,BRTT,,,,,,,ORB (Object Ring Buffer),"US Array ANL, RoadNET",,Antelope ORB  ,globe.jpg,execution environment
ANZ-MEST - Metadata Entry and Search Tool,,http://bluenetdev.its.utas.edu.au/download/bluenetmest.html,"provides information about the identification, the extent, the quality, the spatial and temporal schema, spatial reference, and distribution of digital geographic data.",hli,application,DCC,Unknown,Generic,Digital Curation Centre,,,,,,,,,,ANZ-MEST - Metadata Entry and Search Tool,globe.jpg,application
ANZLIC Metadata Profile,,http://www.anzlic.gov.au/resources/anzlic_metadata_profile,"PDF or Doc files that describe the ANZLIC standard for spatial metadata.

The ANZLIC Metadata Profile adopts established Australian / New Zealand and International Standards. Widespread adoption of the Profile will facilitate interoperability within and between agencies and jurisdictions, both within the region and internationally, by providing a consistent basis for communicating information about resources.",hli,specification,DCC,Conceptual,Generic,Digital Curation Centre,,,,,,,,,,ANZLIC Metadata Profile,globe.jpg,specification
Apache ZooKeeper,Ocean Observatory Initiative (OOI),"http://zookeeper.apache.org/"",""http://zookeeper.apache.org/ |

https://cwiki.apache.org/confluence/display/ZOOKEEPER/ProjectDescription
","ZooKeeper is a high-performance coordination service for distributed applications.
ZooKeeper is a centralized service for maintaining configuration information, naming, providing distributed synchronization, and providing group services. All of these kinds of services are used in some form or another by distributed applications. Each time they are implemented there is a lot of work that goes into fixing the bugs and race conditions that are inevitable. Because of the difficulty of implementing these kinds of services, applications initially usually skimp on them ,which make them brittle in the presence of change and difficult to manage. Even when done correctly, different implementations of these services lead to management complexity when the applications are deployed.
We have Java and C interfaces to Zoo Keeper for the applications themselves. A variety of client bindings is available for a number of languages including Python, Ruby and Go.",cicomponentREview,cloud platform,virtual machine deployment,operational,Generic,Apache Software Foundation,,,,,,,,,,Apache ZooKeeper,dataservice.jpg,cloud platform
Application Metadata (AM) vocabulary,,http://vocab.deri.ie/am,"A vocabulary to describe (Web) applications, to be used together with DOAP.",,vocabulary,information exchange,Unknown,Generic,Digital Enterprise Research Institute,,,,,,,,,,Application Metadata (AM) vocabulary,vocabulary.jpg,vocabulary
ArcGIS,Desktop MS Windows,http://www.arcgis.com/features/,Desktop GIS platform,cicomponentREview,Desktop application,geographic information management,operational,,ESRI,,WMS | WFS | WCS | ESRI REST | ArcObjects API,,,,,,"C#, compiled, closed source",,ArcGIS,package-x-generic.png,Desktop application
ArcGIS online,World Wide Web (WWW),,Geographic data and visualization cloud platform,cicomponentREview,cloud platform,geographic information management,operational,,,,ESRI REST,,,,,,,,ArcGIS online,dataservice.jpg,cloud platform
ASPEN,Ocean Observatory Initiative (OOI),http://ai.jpl.nasa.gov/public/projects/aspen/,ASPEN is an interactive/batch mode mission planning tool. It takes a constraint model of resources and the environment in the context of state conditions and possible actions/activities. It determines a constraint solution that is optimized. It produces a schedule of activities that fulfill the input activities most optimally,cicomponentREview,integration,workflow management,operational,,NASA JPL,,,,,,,,,,ASPEN,globe.jpg,integration
Atmosphere,iPlant,,"provides users with an image of a virtual machine, which is a completely isolated operating system (Smith and Nair, 2005). iPlant provides many different types of virtual machine images, from basic Linux to Linux with complex analytical software stacks preinstalled and configured. Running instances may be modified and used to create new images for sharing additional software stacks. provides infrastructure, platform or software as a service.",cicomponentREview,cloud platform,virtual machine deployment,operational,,iPlant,"Goff et al., 2011",HTTP API,,,,,,Django,,Atmosphere,dataservice.jpg,cloud platform
auditing service,iPlant,,allows the tracking of resource use and access patterns by iPlant.,cicomponentREview,component,usage monitoring,operational,,iPlant,"Goff et al., 2011",,,,,,,,,auditing service,globe.jpg,component
Audubon Core Multimedia Resources Metadata Schema,,http://www.tdwg.org/standards/638/,"Drafted metadata vocabulary for biodiversity resources. The Audubon Core metadata schema (AC) is a representation-neutral metadata vocabulary for describing biodiversity-related multimedia resources and collections.Multimedia Resources are digital or physical artifacts which normally comprise more than text. These include pictures, artwork, drawings, photographs, sound, video, animations, presentation materials, interactive online media including identification tool packages involving text and other media. A multimedia collection is an assemblage of such objects whether curated or not and whether electronically accessible or not. For the purposes of this schema we regard a collection of multimedia resources itself as a 'multimedia resource'. Multimedia descriptions are digital records that document underlying multimedia resources. Audubon Core is focused on biodiversity-related multimedia resources. It shares terminology and concerns with many well known and important standards for describing access to resources such as Dublin Core(DC), Darwin Core (DwC), the Adobe Extensible Metadata Platform (XMP), the International Press and Telecommunications Council (IPTC) the Metadata Working Group (MWG) schema, the Natural Collections Schema (NCD), and others. Where there is an exact match to concerns of such standards, Audubon Core adopts their identifiers and definitions. Audubon Core particularly intends to ease the burden of holders of descriptions specified either by DwC or DC by allowing use of those existing descriptions where appropriate.",hli,specification,data presentation,Conceptual,Biology,Biodiversity Information Standards (TDWG),,,,,,,,,,Audubon Core Multimedia Resources Metadata Schema,globe.jpg,specification
Australian Ocean Data Network (AODN) Portal,,http://portal.aodn.org.au/aodn/,"Data portal for several Australian Oceanography institutes. Offers map interface, with several layers and the ability to add WMS layers, or catalog search.

This portal is the primary access point for search, discovery, access and download of data collected by the Australian marine community. Primary datasets are contributed by the Integrated Marine Observing System (IMOS) an Australian Government Research Infrastructure project, and the six Commonwealth Agencies with responsibilities in the Australian marine jurisdiction (Australian Antarctic Division, Australian Institute for Marine Science, Bureau of Meteorology, Commonwealth Science and Industrial Research Organisation, Geoscience Australia and the Royal Australian Navy) (Source: AODN Portal)",hli,web site,data access,Operational,Ocean Science,Integrated Marine Observing System,,,,,,,,,,Australian Ocean Data Network (AODN) Portal,globe.jpg,web site
Authenticator,Ocean observatory initiative (OOI),,,cicomponentREview,component,authentication,planned,,,,,,,,,,planned?,,Authenticator,globe.jpg,component
bagIT,,,"spec for packaging data, with metadata",cicomponentREview,specification,information exchange,operational,,,,,,,,,,,,bagIT,globe.jpg,specification
Bcube Broker,EarthCube,,"Building block component, provides transformation services. Requires configuration for each input and output protocol and format.",cicomponentREview,component,service,in progress,,"GEOSS, NSDIC",EarthCube building block,,,,,,,,,Bcube Broker,globe.jpg,component
BCube Crawler,BCube,,"
",RuthDuerr,server application,data acquisition,,,,,,,,,,,,,,globe.jpg,
Best Practices Register,GEOSS,,,cicomponentREview,register,discovery,operational,,GEOSS,"OGC AIP-7 Architecture report, figure 4",,,,,,,,,Best Practices Register,globe.jpg,register
Best practices WIKI,GEOSS,,"tutorials are developed in private pages on the GEOSS BPW. Once ready to be published, a tutorial’s pages are made public, still residing on the BPW. Tutorials are also registered in the CSR as GEOSS documentation resources. Each tutorial has an introduction that explains the purpose and how to navigate it. All tutorials have a similar structure in order to maintain uniformity and consistency, and make it easier for the reader. A user can read a tutorial online in the BPW, save it as an HTML document, print it in real-time, or save it using a PDF printer tool. As the BPW is a wiki, comments can be posted to help edit and improve the tutorials. Comments are used by tutorial authors to edit the tutorial prior to the next release on the BPW.",cicomponentREview,web site,community support,operational,,GEOSS,"OGC AIP-7 Architecture report, Figure 7",,,,,,,,,Best practices WIKI,globe.jpg,web site
Biological and Chemical Oceanography Ontology,,http://mmisw.org/orr/#http://escience.rpi.edu/ontology/BCO-DMO/bcodmo/2/0,"BCO-DMO ontology for its metadata.
The Biological and Chemical Oceanography Data Management Office (BCO-DMO) is funded by the US National Science Foundation Division of Ocean Sciences to work with ocean biogeochemistry researchers in the US to improve access to data resulting from their respective programs. In an effort to improve data access, BCO-DMO staff members are collaborating with researchers from the Tetherless World Constellation (TWC) at Rensselaer Polytechnic Institute (RPI) to develop an ontology that formally describes the concepts and relationships in the data managed by the BCO-DMO. Version 2.0 (February 2011) of the BCO Ontology is still a work in progress. Development is ongoing, with much work still remaining to be done on the parameter class. Version 2.0 is being shared in it's current state in hopes that community members may find the work done thus far to be useful for their projects. We welcome feedback and comments on the content. Development of the ontology has been guided by a use case based approach. The use cases were derived from data access related requests received from members of the research community served by the BCO-DMO. The resultant BCO Ontology represents the information stored in the metadata database and satisfies the requirements of the use cases. The BCO-DMO metadata database currently contains information that powers several different user and machine-to-machine interfaces to the BCO-DMO data repositories. One goal of the ontology development project is to enable subsequent development of semantically-enabled components (e.g. faceted search) to enhance the power of those interfaces and improve data access through enhanced data discovery (Source: MMI)",,vocabulary,information exchange,Published Standard,Ocean Science,Biological and Chemical Oceanography Data Management Office,,,,,,,,,,Biological and Chemical Oceanography Ontology,vocabulary.jpg,vocabulary
BIOMAR Classification of Marine Biotopes,,http://marinemetadata.org/2005/08/biomar,"RDF file of complex habitats and object properties.
BioMar classification of marine biotopes by Joint Nature Conservation Committee in Britain",,vocabulary,information exchange,Published Standard,BiologicalSpeciesEcology,Marine Metadata Initative,,,,,,,,,,BIOMAR Classification of Marine Biotopes,vocabulary.jpg,vocabulary
Biscay AGL - Oceano-meteorological buoy Augusto González de Linares,Fixed point Open Ocean Observatory network (FixO3),http://www.fixo3.eu/observatory/biscay-agl/,"Mooring in SE Bay of Biscay it comprises a fully-equipped ODAS buoy transmitting data in real-time plus monthly hydrographical and biogeochemical sampling of water column from research vessel. Buoy obtains core measurements of meteorological, physical, biogeochemical, and ecological parameters with high significance to weather forecasting and climate monitoring. Data immediately provided through IEO web page (hourly",hli,platform,data acquisition,Community-Established,Ocean Science,Instituto Español de Oceanografía,,,ASCII Others,,,,,,,Biscay AGL - Oceano-meteorological buoy Augusto González de Linares,globe.jpg,platform
boto,Ocean Observatory Initiative (OOI),https://github.com/boto/boto,Boto is a python client for the AWS Query API. It is compatible with EC2 and Nimbus.,cicomponentREview,software library,virtual machine deployment,operational,,,,,,,,,,,,boto,software.png,software library
British Antarctic Survey (BAS) Discover Metadata Systems (DMS),,http://www.antarctica.ac.uk/dms/,"Browse the metadata of datasets in several fields of science.
An organisation coordinating the management of data collected by UK-funded scientists in the polar regions, using an application profile that is harmonious with both ISO 19115 and DIF (Source: DCC)",,catalog,data access,Operational,Data Systems,British Antarctic Survey,,,,,,,,,,British Antarctic Survey (BAS) Discover Metadata Systems (DMS),icon_catalog.jpg,catalog
British Geological Survey (BGS) Discovery Metadata,,http://www.bgs.ac.uk/discoverymetadata/,"Search BGS metadata for the BGS's own datasets. View a list, browse by keyword, location or hierarchy, CSW interface or NERC Data Catalogue service.
BGS discovery metadata describes the datasets we hold. These pages are derived from our discovery metadata database, which complies with ISO standard 19115:2003 for geographic information metadata (Source: BGS)",,catalog,data access,Operational,Earth Science,British Geological survey,,,,,,,,,,British Geological Survey (BGS) Discovery Metadata,icon_catalog.jpg,catalog
British Oceanographic Data Centre (BODC) Published Data Library (PDL),,https://www.bodc.ac.uk/data/published_data_library/catalogue/,"Searchable catalog of BODC publications. Search by author, summary title, publication date or temporal coverage.
his catalogue provides access to snapshots of specially chosen datasets that are archived using rigorous version management. This enables citation in journal papers through the assignment of a Digital Object Identifier (DOI) in collaboration with the British Library (Source: BODC)",,catalog,data access,Operational,Ocean Science,British Oceanographic Data Centre,,,,,,,,,,British Oceanographic Data Centre (BODC) Published Data Library (PDL),icon_catalog.jpg,catalog
CalCOFI Data Formats,,http://www.calcofi.org/references/data-formats.html,Web page index to documented data formats (content models) and parameter vocabularies used by CalCOFI,hli,Catalog,data access,Published Standard,Ocean Science,California Cooperative Oceanic Fisheries Investigations,,,,,,,,,,CalCOFI Data Formats,icon_catalog.jpg,Catalog
CalCOFI Dissolved Inorganic Carbon data,,http://www.calcofi.org/data/dic-data/214-dic-dissolved-inorganic-carbon.html,"Web landing page to download CSV or MDB files. CalCOFI collects samples for inorganic carbon and total alkalinity at specific stations throughout the cruise track. Seawater samples are collected from several depths, preserved and brought back to SIO for total inorganic carbon and total alkalinity analysis. These measurements allow the calculation of pH and pCO2. The objectives of these measurements are: first, the long-term characterization of the inorganic carbon system and its response to changing ocean climate, and second, measurements of pH in the coastal zone in order to monitor the anthropogenic impact on coastal ecosystems in the Southern California Bight.
",hli,dataset,data access,Published Standard,Ocean Science,California Cooperative Oceanic Fisheries Investigations,,,,,,,,,,CalCOFI Dissolved Inorganic Carbon data,package-x-generic.png,dataset
California Cooperative Oceanic Fisheries Investigation (CalCOFI) Data,,http://www.calcofi.org/data/195-available-data.html,"Web page listing, entry point for finding CalCOFI data; needs detailed scraping/analysis to index individual datasets",hli,Catalog,data access,Operational,Ocean Science,California Cooperative Oceanic Fisheries Investigations,,,,,,,,,,California Cooperative Oceanic Fisheries Investigation (CalCOFI) Data,icon_catalog.jpg,Catalog
California Natural Diversity Database,,https://www.dfg.ca.gov/biogeodata/cnddb/,The California Natural Diversity Database (CNDDB) is a program that inventories the status and locations of rare plants and animals in California . CNDDB staff work with partners to maintain current lists of rare species as well as maintain an ever-growing database of GIS-mapped locations for these species. keywords: biodiversity,lhsu,Data Access,data service,Operational,BiologicalSpeciesEcology,,,,,,,,,,,,,
CAM Editor XML tools with SQL and UML,,"https://joinup.ec.europa.eu/software/camed/home |
http://camprocessor.sourceforge.net/wiki/index.php/Main_Page","XML editor for improving data interoperability.
The CAM editor is the leading open source toolkit for building and deploying XML exchanges and Open Data APIs with JSON/XML/SQL. The OASIS CAM is a public open standard. The CAM editor can import, analyze and refactor existing exchange XML Schema for better compatibility and use in middleware, including generating model compliant XML Schema consistent with enterprise integration patterns. The full XML exchange structure, rules and documentation details are stored in the OASIS CAM standard XML template format (Source: Joinup)",hli,software library,,Operational,Data Systems,Join Up -- European Union Interoperability Solutions for Public Administrations (ISA) Programme.,,,,,,,,,,CAM Editor XML tools with SQL and UML,software.png,software library
Capability Meta Model,,http://vocab.deri.ie/cap,,,information model,,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,Capability Meta Model,infomrationModel.jpg,information model
