Author#hide,publication_date#info,ID#info,title#info,keywords_thematic#multi,Keyword: Geologic Time Tier 1#multi,Keyword: Geologic Time Tier 2#multi,Keyword: Discipline Tier 1#multi,Keyword: Discipline Tier 2 Human#multi,Keyword: Discipline Tier 2 Scraped#multi,resource_url#link,DataType,resource_type#multi,description#info,Services#multi,originator_contact_org_name#info,originator_contact_email#info,Comments#info,Software >Language#info,Software >Operating System#info,Software >Version#info,Software> Licence#info,REPOSITORIES#info,originator_contact_city#info,originator_contact_state#info,originator_contact_zip#info,Repository >Mailing_Address >Country#info,Repository >Physical_Address >Street#info,Repository >Physical_Address >City/Town#info,Repository >Physical_Address >State/Province#info,Repository >Physical_Address >Zip#info,Repository >Physical_Address >Country#info,Repository >Collection Type,Repository >Curator#info,Databases >Endpoint API#info,Databases >Last Update Date#info,Databases >Funding Organization#info,#name,#img,#href
Kaleb,,c4p/nsf-gov/0001290,Grid Analysis and Display System (GrADS),"visualization, graphical, core, models, image, well, analysis, Windows, model",,,Geoinformatics,"Climatology, Paleoclimatology, Paleoenvironment","data, Data, analysis, Analysis, visualization",http://www.iges.org/grads/,analysis,software,"An interactive desktop software tool that is used for access, manipulation, and visualization of earth science data. It has two data models for handling gridded and station data, and supports many data file formats, including binary (stream or sequential), GRIB (version 1 and 2), NetCDF, HDF (version 4 and 5), and BUFR (for station data). It uses a 5-Dimensional data environment: the four conventional dimensions (longitude, latitude, vertical level, and time) plus an optional 5th dimension for grids that is generally implemented but designed to be used for ensembles. ",,,,,,,,,,,,,,,,,,,,,,,,Grid Analysis and Display System (GrADS),software_application.png,http://www.iges.org/grads/
Kaleb,,c4p/nsf-gov/0001292,PyNIO,"graphic, Python, image, well, analysis, visualize, images",,,Geoinformatics,"Climatology, Paleoclimatology, Paleoenvironment","data, resources, Atmospheric, analysis, Resources",http://www.pynio.ucar.edu/newusers.shtml,analysis,software,"A Python module used for reading and writing files in several different data formats, including netCDF, netCDF 4, GRIB1, GRIB2, HDF 4, HDF-EOS 2 and HDF-EOS5, and CCM history files.",,,,,Python,,,,,,,,,,,,,,,,,,,PyNIO,software_application.png,http://www.pynio.ucar.edu/newusers.shtml
Kaleb,,c4p/nsf-gov/0001006,refl.f,,,,Atmospheric,"Climatology, Paleoclimatology, Paleoenvironment",,http://www.giss.nasa.gov/staff/mmishchenko/brf/,"analytical, computational",software,A software code computes Fourier components of the reflection function. Written in Fortran.,,,,,fortran,,,,,,,,,,,,,,,,,,,refl.f,software_application.png,http://www.giss.nasa.gov/staff/mmishchenko/brf/
Kaleb,,c4p/nsf-gov/0001007,interp.f,,,,Atmospheric,"Climatology, Paleoclimatology, Paleoenvironment",,http://www.giss.nasa.gov/staff/mmishchenko/brf/,"analytical, computational",software,A software code computes the bidirectional reflection function for a given set of scattering geometries. Written in Fortran.,,,,,fortran,,,,,,,,,,,,,,,,,,,interp.f,software_application.png,http://www.giss.nasa.gov/staff/mmishchenko/brf/
Kaleb,,c4p/nsf-gov/0001008,spher.f,,,,Atmospheric,"Climatology, Paleoclimatology, Paleoenvironment",,http://www.giss.nasa.gov/staff/mmishchenko/brf/,"analytical, computational",software,A software code computes the Legendre expansion coefficients for polydisperse spherical particles using the standard Lorenz-Mie theory. Written in Fortran.,,,,,fortran,,,,,,,,,,,,,,,,,,,spher.f,software_application.png,http://www.giss.nasa.gov/staff/mmishchenko/brf/
Kaleb,,c4p/nsf-gov/0001009,ocean.shadow.f,,,,Atmospheric,"Climatology, Paleoclimatology, Paleoenvironment",,http://www.giss.nasa.gov/staff/mmishchenko/brf/,"analytical, computational",software,A software code that calculates the Stokes reflection matrix for illumination from above for a statistically rough surface separating two half-spaces with different refractive indices. The effect of shadowing is included. ,,,,,,,,,,,,,,,,,,,,,,,,ocean.shadow.f,software_application.png,http://www.giss.nasa.gov/staff/mmishchenko/brf/
Kaleb,,c4p/nsf-gov/0001010,ocean.phase.f,,,,Atmospheric,"Climatology, Paleoclimatology, Paleoenvironment",,http://www.giss.nasa.gov/staff/mmishchenko/brf/,"analytical, computational",software,A software code that calculates Fourier components of the Stokes reflection matrix for illumination from above for a statistically rough surface separating two half-spaces with different refractive indices. The effect of shadowing is included. ,,,,,,,,,,,,,,,,,,,,,,,,ocean.phase.f,software_application.png,http://www.giss.nasa.gov/staff/mmishchenko/brf/
Kaleb,,c4p/nsf-gov/0001206,EarthChem,"geochronology, oceanic, facility, material, analysis, source, collections, samples, East",,,Geochemistry,"geochemistry, petrology, geoscience, geochronology, mineralogy, sample collectors, geology, data ","Geochronology, geochronology, data, analysis, geochemistry, Data, Resources",http://www.earthchem.org/,"analytical, portal",database,"A database of igneous rock sample data that facilitates the preservation, discovery, access, and visualization of data generated in geosciences; particularly geochemistry, geochronology, and petrology.","geochemical data for sediments, age models, integration with rock data",,,,,,,,,,,,,,,,,,,,,,,EarthChem,portal.png,http://www.earthchem.org/
Kaleb,,c4p/nsf-gov/0001366,Biodiversity Information Serving Our Nation (BISON),"United States, maps, global, open",,,Paleobiolology,"paleontology, paleobiology, paleoecology, paleoentomology, paleorecord community, taxonomy, life, diatomists, evolution, collections, biodiversity","Biodiversity, data, Vertebrate, biodiversity, Zoology, Data, resources",http://bison.usgs.ornl.gov,"API, database aggregator, mapping application, web services",database,Database of U.S. species occurrence. Search the database by species name (common/scientific). ,taxonomic and biodiversty data,"Stinger Guala, Annie Simpson",,,,,,,,,,,,,,,,,,,,,,Biodiversity Information Serving Our Nation (BISON),globe.jpg,http://bison.usgs.ornl.gov
Kaleb,,c4p/nsf-gov/0001314,G.Projector,,,,Geoinformatics,"Climatology, Paleoclimatology, Paleoenvironment",,http://www.giss.nasa.gov/tools/gprojector/,application,software,"A cross-platform desktop application software for easy exploration of over 100 map projections, including transformation of input equirectangular map images. Longitude-latitude gridlines and continental outlines may be drawn on the map, and the resulting image may be saved to disk in GIF, JPEG, PDF, PNG, PS or TIFF form.",,,,,,,,,,,,,,,,,,,,,,,,G.Projector,globe.jpg,http://www.giss.nasa.gov/tools/gprojector/
Kaleb,,c4p/nsf-gov/0001364,Paleoindian Database of the Americas,,,,Paleobiolology,"archeology, paleobiology, paleoenvironment",,http://pidba.utk.edu/,archaeological occurrence data,database,"Database of bifacies and other lithics. The database provides locational, attribute, and image data on Paleoindian materials (>ca. 10,000 cal yr BP) from all across the Americas.",Archaeology database of bifaces and other lithics,David Anderson,,,,,,,,,,,,,,,,,,,,,,Paleoindian Database of the Americas,globe.jpg,http://pidba.utk.edu/
Kaleb,,c4p/nsf-gov/0001537,IODP-USIO Log Data Base,"map, Greenland, core",,,Pysical_Geology,"scientific drilling, marine geoscience, oceanography, sedimentology,  stratigraphy, IODP-ECORD, paleontology, geochronology, geophysics, exploration geophysics, geochemistry, paleoceanography, paleorecord, paleoclimatology, paleobiology, microbiology, mammal paleobiology","Environmental, Geochemistry, Data, geochemistry",http://brg.ldeo.columbia.edu/logdb,borehole logs,database,Database that retrieves seafloor sediments and rocks. The database contains logs and cores which have supplementary images and samples.,,Bob Arko,,,,,,,,,,,,,,,,,,,,,,IODP-USIO Log Data Base,globe.jpg,http://brg.ldeo.columbia.edu/logdb
Ryan,,c4p/nsf-gov/0001284,Kentucky Geological Survey Publications and Maps Catalog,"geologic, open",,,Geoinformatics,"geology, geoscience, petrology","Mining, Data",http://kgs.uky.edu/kgsweb/pubs/pubsearch.asp,catalog,database,"A database of publications searchable by keyword, map/publication, series, references, subject, publication number, or publication time.",,,,,,,,,,,,,,,,,,,,,,,,Kentucky Geological Survey Publications and Maps Catalog,globe.jpg,http://kgs.uky.edu/kgsweb/pubs/pubsearch.asp
Kaleb,,c4p/nsf-gov/0001528,Marine Geoscience Data System,"map, visualize, visualization, global, maps, bathymetry, analyze",,,Pysical_Geology,"marine geoscience, GIS, cartography, oceanography, paleoceanography, metadata, data, geophysics, exploration geophysics","Polar, Visualization, data, bathymetry, visualization, Coastal, Bathymetry, Data",http://www.marine-geo.org/index.php,catalog,database,"Database of marine geoscience data portals. The Marine Geoscience Data System (MGDS), part of the Integrated Earth Data Applications (IEDA) facility, provides access to data portals for the NSF-supported Ridge 2000, MARGINS, and GeoPRISMS programs, the Antarctic and Southern Ocean Data Synthesis, the Global Multi-Resolution Topography Synthesis, and Seismic Reflection Field Data Portal. ",marine geology and geophysics database,,,,,,,,,,,,,,,,,,,,,,,Marine Geoscience Data System,globe.jpg,http://www.marine-geo.org/index.php
Kaleb,,c4p/nsf-gov/0001102,Earth System Grid,"diatoms, Python, ice, ocean, water, source, model, change",,,Climatology,"paleoclimatology, paleoceanography","Visualization, Atmospheric, data, Energy, Regional, Analysis, Data",https://www.earthsystemgrid.org/home.htm,Climate and paleoclimate simulations,portal,A portal to geoscience databases and software focusing on the World Climate Research Programme's (WCRP) Coupled Model Intercomparison Project (CMIP) and climate/environmental science in general.,,"John Kappelman, Denné Reed",,,,,,,,,,,,,,,,,,,,,,Earth System Grid,climate_model.png,https://www.earthsystemgrid.org/home.htm
Kaleb,,c4p/nsf-gov/0001000,Stomatal Index-CO2 Code for Estimating Ancient Atmospheric CO2 from Leaf Stomatal Index,"climate, atmospheric, Miocene, global, paleoclimate, application, reconstructions, climates, Eocene",,"Miocene, Eocene",Atmospheric,"Climatology, Paleoclimatology, Paleoenvironment","atmospheric, Data, statistical, data",ftp://ftp.ncdc.noaa.gov/pub/data/paleo/softlib/beerling2009co2/readme-beerling2009co2.txt,climate model,software,A MATLAB software code for CO2 estimates from leaf stomatal index.,,,,,Matlab,,,,,,,,,,,,,,,,,,,Stomatal Index-CO2 Code for Estimating Ancient Atmospheric CO2 from Leaf Stomatal Index,climate_model.png,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/softlib/beerling2009co2/readme-beerling2009co2.txt
Kaleb,,c4p/nsf-gov/0001002,ECHAM6,"core, climate, atmospheric, coupled, models, global, well, atmosphere, ocean, source, modeling, model",,,Atmospheric,"Climatology, Paleoclimatology, Paleoenvironment","terrestrial, atmospheric, Data",http://www.mpimet.mpg.de/en/science/models/echam.html,climate model,software,"An atmospheric general circulation model that also includes an advanced treatment of the terrestrial biosphere. JSBACH model is embedded within the ECHAM6 model, which is a component model of MPI.",,,,,,,6,,,,,,,,,,,,,,,,,ECHAM6,climate_model.png,http://www.mpimet.mpg.de/en/science/models/echam.html
Kaleb,,c4p/nsf-gov/0001004,T-Matrix,,,,Atmospheric,"Climatology, Paleoclimatology, Paleoenvironment",,http://www.giss.nasa.gov/staff/mmishchenko/t_matrix.html,climate model,software,"Software codes for the computation of electromagnetic scattering by homogeneous, rotationally symmetric nonspherical particles in fixed and random orientations, a superposition T-matrix code for randomly oriented two-sphere clusters with touching or separated components, and superposition T-matrix codes for multi-sphere clusters in fixed and random orientations. All codes are written in Fortran-77. Each code is extensively documented and provides all necessary references to relevant publications. ",,,,,,,,,,,,,,,,,,,,,,,,T-Matrix,climate_model.png,http://www.giss.nasa.gov/staff/mmishchenko/t_matrix.html
Kaleb,,c4p/nsf-gov/0001005,Bidirectional Reflection,,,,Atmospheric,"Climatology, Paleoclimatology, Paleoenvironment",,http://www.giss.nasa.gov/staff/mmishchenko/brf/,climate model,software,"A fortran software code for computing bidirectional reflection for a semi-infinite homogenous slab composed of arbitrarily shaped, randomly oriented particles.",,,,,fortran,,,,,,,,,,,,,,,,,,,Bidirectional Reflection,climate_model.png,http://www.giss.nasa.gov/staff/mmishchenko/brf/
Kaleb,,c4p/nsf-gov/0001011,Mars24,,,,Atmospheric,"Climatology, Paleoclimatology, Paleoenvironment",,http://www.giss.nasa.gov/tools/mars24/,climate model,software,"A Java software application which displays a Mars sunclock, a graphical representation of the planet Mars showing its current sun- and nightsides, along with a numerical readout of the time in 24-hour format. Other displays include a plot showing the relative orbital positions of Mars and Earth and a diagram showing the solar angle and path for a given location on Mars. For Mac OS X, Windows, Linux, OS/2, etc.",,,,,Java,"Mac OS X, Windows, Linux",,,,,,,,,,,,,,,,,,Mars24,climate_model.png,http://www.giss.nasa.gov/tools/mars24/
Kaleb,,c4p/nsf-gov/0001012,Titan23,,,,Atmospheric,"Climatology, Paleoclimatology, Paleoenvironment",,http://www.giss.nasa.gov/tools/titan24/,climate model,software,"a Java application which displays a Titan ""sunclock"", a graphical representation of the planet Titan showing its current sun- and nightsides, along with a numerical readout of the time in 24-hour format. For Mac OS X, Windows, Linux, OS/2, etc.",,,,,Java,"Mac OS X, Windows, Linux",,,,,,,,,,,,,,,,,,Titan23,climate_model.png,http://www.giss.nasa.gov/tools/titan24/
Kaleb,,c4p/nsf-gov/0001013,MOLSCAT,,,,Atmospheric,"Climatology, Paleoclimatology, Paleoenvironment",,http://www.giss.nasa.gov/tools/molscat/,climate model,software,A software code for quantum mechanical (coupled channel) solution of the nonreactive molecular scattering problem. ,,,,,,,,,,,,,,,,,,,,,,,,MOLSCAT,climate_model.png,http://www.giss.nasa.gov/tools/molscat/
Kaleb,,c4p/nsf-gov/0001014,Java Climate Model,"core, model, Java, climate, change",,,Atmospheric,"Climatology, Paleoclimatology, Paleoenvironment",,http://jcm.climatemodel.info/,climate model,software,"An interactive climate software model that includes atmospheric chemical parameters, with outputs including global temperature models, socioeconomic projections, greenhouse gas emissions, and more.",,,,,,,,,,,,,,,,,,,,,,,,Java Climate Model,climate_model.png,http://jcm.climatemodel.info/
Kaleb,,c4p/nsf-gov/0001015,Shallow Atmosphere Model (SAM),"graphical, atmospheric, models, global, well, atmosphere, water, model",,,Atmospheric,"Climatology, Paleoclimatology, Paleoenvironment","terrestrial, atmospheric",http://www.mi.uni-hamburg.de/SAM.6074.0.html?&L=3%2525252525252520%2525252525252527,climate model,software,A modeling software that simulates the barotropic (vertically averaged) flow of the atmosphere while the effect of  non-barotropic (baroclinic) processes must be parameterized in the model.,,,,,,,,,,,,,,,,,,,,,,,,Shallow Atmosphere Model (SAM),climate_model.png,http://www.mi.uni-hamburg.de/SAM.6074.0.html?&L=3%2525252525252520%2525252525252527
Kaleb,,c4p/nsf-gov/0001016,Meso-NH,"satellite, atmospheric, coupled, material, well, atmosphere, ocean, model",,,Atmospheric,"Climatology, Paleoclimatology, Paleoenvironment","atmospheric, satellite, Data, data",http://www.drihm.eu/index.php/support/drihm-components/models/2013-10-21-15-03-06,climate model,software,"A non-hydrostatic mesoscale atmospheric modeling software. It incorporates a non-hydrostatic system of equations, for dealing all scales ranging from large (synoptic) to small (large eddy) scales while calculating budgets; has a complete set of physical parameterizations, particularly advanced for the representation of clouds and precipitation; iIs coupled to the surface model SURFEX for representing the ground atmosphere interactions by considering different surface types (vegetation, city, ocean, lake); allows for a multi-scale approach through a grid-nesting technique; is a versatile code, vectorized, parallelized, operating in 1D, 2D or 3D designed to handle real situations as well as academic cases; is coupled with a chemistry module (including gas-phase, aerosol, and aqua-phase components) and a lightning module; and has observation operators that compare directly model output with satellite observations, radar, lidar and GPS.",,,,,,,,,,,,,,,,,,,,,,,,Meso-NH,climate_model.png,http://www.drihm.eu/index.php/support/drihm-components/models/2013-10-21-15-03-06
Kaleb,,c4p/nsf-gov/0001017,MODTRAN5,"States, model, United States, atmospheric, atmosphere",,,Atmospheric,"Climatology, Paleoclimatology, Paleoenvironment","terrestrial, Data, molecular, Atmospheric, atmospheric",http://www.modtran5.com/,climate model,software,"A ""narrow band"" atmospheric radiative transfer modeling software. It models the atmosphere as stratified, and its constituent profiles, both molecular and particulate, may be defined either using built-in models or by user-specified vertical profiles. The spectral range extends from the UV into the far-infrared (0 – 50,000 cm-1), providing resolution as fine as 0.2 cm-1. ",,,,,,,5,,,,,,,,,,,,,,,,,MODTRAN5,climate_model.png,http://www.modtran5.com/
Kaleb,,c4p/nsf-gov/0001018,Model Codes (other),"climate, models, global, well, analysis, coastal, Python, Windows, ice, cores, model, change",,,Atmospheric,"Climatology, Paleoclimatology, Paleoenvironment","Aerosols, Atmospheric, data, Energy, Regional, Satellite, Analysis, Environmental, modelling, Oceanography, analysis, Data",http://www.realclimate.org/index.php/data-sources/#GCM_code,climate model,software,,,,,,,,,,,,,,,,,,,,,,,,,Model Codes (other),climate_model.png,http://www.realclimate.org/index.php/data-sources/#GCM_code
Kaleb,,c4p/nsf-gov/0001019,Weather Research and Forecasting (WRF) Model,"core, atmospheric, applications, modeling, cores, model",,,Atmospheric,"Climatology, Paleoclimatology, Paleoenvironment","Atmospheric, Meteorology, Environmental, atmospheric, data, Resources",http://www.wrf-model.org/index.php,climate model,software,"A next-generation mesoscale numerical weather prediction modeling software system featuring two dynamical cores; a data assimilation system, and a software architecture allowing for parallel computation and system extensibility.",,,,,,,,,,,,,,,,,,,,,,,,Weather Research and Forecasting (WRF) Model,climate_model.png,http://www.wrf-model.org/index.php
Kaleb,,c4p/nsf-gov/0001020,GFDL Model,"climate, atmospheric, coupled, models, global, atmosphere, ice, ocean, model, change",,,Atmospheric,"Climatology, Paleoclimatology, Paleoenvironment","Data, Atmospheric, atmospheric, data",http://www.gfdl.noaa.gov/model-development,climate model,software,,,,,,,,,,,,,,,,,,,,,,,,,GFDL Model,climate_model.png,http://www.gfdl.noaa.gov/model-development
Kaleb,,c4p/nsf-gov/0001021,CAM3 Atmosphere Model (CCSM) 3.1,"climate, atmospheric, models, global, atmosphere, ocean, source, model",,,Atmospheric,"Climatology, Paleoclimatology, Paleoenvironment","Polar, Atmospheric, Energy, engineering, Engineering, atmospheric, Biogeochemistry, Data",http://www.cesm.ucar.edu/models/atm-cam/,climate model,software,"The atmospheric component of CCSM is the Community Atmosphere Model (CAM) software. It can stand alone, and has a 256x128 regular longitude/latitude global horizontal grid (giving a 1.4 degree resolution). It has 26 levels in the vertical.[8]",,,,,,,3.1,,,,,,,,,,,,,,,,,CAM3 Atmosphere Model (CCSM) 3.1,climate_model.png,http://www.cesm.ucar.edu/models/atm-cam/
Kaleb,,c4p/nsf-gov/0001022,Portable University Model of the Atmosphere (PUMA),model,,,Atmospheric,"Climatology, Paleoclimatology, Paleoenvironment",,http://www.mi.uni-hamburg.de/PUMA.215.0.html?&L=3%2525252525252520%2525252525252527,climate model,software,A modeling software that provides a circulation model in Fortran-90 that includes major relevant atmospheric processes.,,,,,fortran f-90,,,,,,,,,,,,,,,,,,,Portable University Model of the Atmosphere (PUMA),climate_model.png,http://www.mi.uni-hamburg.de/PUMA.215.0.html?&L=3%2525252525252520%2525252525252527
Kaleb,,c4p/nsf-gov/0001023,Hadley Centre Atmospheric Model version 3 (HadAM3),map,,,Atmospheric,"Climatology, Paleoclimatology, Paleoenvironment",,http://www.metoffice.gov.uk/research/modelling-systems/unified-model/climate-models/hadcm4,climate model,software,"A grid point atmospheric modeling software with a horizontal resolution of 3.75 × 2.5 degrees in longitude × latitude, giving 96 × 73 grid points on the scalar (pressure, temperature and moisture) grid; the vector (wind velocity) grid is offset by 1/2 a grid box, giving a resolution of approximately 300 km. There are 19 levels in the vertical. The timestep is 30 minutes (with three sub-timesteps per timestep in the dynamics). Near the poles, fields are fourier-filtered to prevent instabilities due to the CFL criterion.
",,,,,,,3,,,,,,,,,,,,,,,,,Hadley Centre Atmospheric Model version 3 (HadAM3),climate_model.png,http://www.metoffice.gov.uk/research/modelling-systems/unified-model/climate-models/hadcm4
Kaleb,,c4p/nsf-gov/0001024,Hadley Centre Slab Model version 3 (HadSM3),map,,,Atmospheric,"Climatology, Paleoclimatology, Paleoenvironment",,http://www.metoffice.gov.uk/research/modelling-systems/unified-model/climate-models/hadcm6,climate model,software,"An atmospheric modeling software that can be coupled to rather than the full dynamic HadOM3 model in order to save time and memory. It lacks dynamical feedbacks from the ocean, which are incorporated into the full coupled ocean–atmosphere models used to make projections of climate change out to 2100. To do this the slab model needs a calibration phase in which the ocean temperatures are held to climatology while it calculates the flux correction.",,,,,,,3,,,,,,,,,,,,,,,,,Hadley Centre Slab Model version 3 (HadSM3),climate_model.png,http://www.metoffice.gov.uk/research/modelling-systems/unified-model/climate-models/hadcm6
Kaleb,,c4p/nsf-gov/0001066,University of Victoria Earth System Climate Model (Uvic ESCM) 2.9,model,,,Climatology,"Climatology, Paleoclimatology, Paleoenvironment","Data, Modelling",http://wikyonos.seos.uvic.ca/model/,climate model,software,"A global climate software model including parameters such as albedo, carbon, ocean biology and chemistry, atmospheric transport, outgoing longwave radiation, precipitation, Dalton number, ocean parameters, ice, vegitation, and more.",,Michael Eby,eby@uvic.ca,,,,2.9,,,,,,,,,,,,,,,,,University of Victoria Earth System Climate Model (Uvic ESCM) 2.9,climate_model.png,http://wikyonos.seos.uvic.ca/model/
