ID#info,Name#info,System#multi,FunctionalDescription#info,Component Type#multi,Function#multi,Maturity/status,Steward-Organization,References-Links#link,References-Text#info,Interfaces#multi,InterchangeFormats#multi,InformationModels#multi,Implementation#multi,#name,#img,#href
ci:00051,ICPSR Inter-university Consortium for Political and Social Research,,"ICPSR advances and expands social and behavioral research, acting as a global leader in data stewardship and providing rich data resources and responsive educational opportunities for present and future generations.",,,,,https://www.icpsr.umich.edu/icpsrweb/landing.jsp,,,,,,ICPSR Inter-university Consortium for Political and Social Research,community.png,https://www.icpsr.umich.edu/icpsrweb/landing.jsp
ci:00052,Components to acquire observations,GEOSS,"Top level abstract component.  local, national, regional and global systems to be augmented as required by new observing systems",component,data acquisition,conceptual,GEOSS,,OGC AIP-7 Architecture report,,,,,Components to acquire observations,database.jpg,
ci:00053,Staging database,CINERGI,"stores resource descriptions in a standardized schema, with interfaces for various components to 'update/upgrade' content, and for publishing to user-facing applications",component,database,,CINERGI Project,,,http,JSON (other?),"CINERGI metadata federation scheme, mostly ISO19115",MongoDb,Staging database,database.jpg,
ci:00054,CouchBase,Ocean Observatory Initiative (OOI),"Spin off from CouchDB, integrating memcached, bundled as an enterprise level database technology",database,data management,operational,,,,,,,,CouchBase,database.jpg,
ci:00055,CouchDB/BigCouch,Ocean Observatory Initiative (OOI),Apache CouchDB is a document-oriented database that can be queried and indexed in a MapReduce fashion using JavaScript. CouchDB also offers incremental replication with bi-directional conflict detection and resolution.,database,data management,operational,,,,,,,,CouchDB/BigCouch,database.jpg,
ci:00056,PostGIS,Ocean Observatory Initiative (OOI),PostGIS is a spatial database extender for PostgreSQL object-relational database. It adds support for geographic objects allowing location queries to be run in SQL.,database,data management,operational,,,,,,,,PostGIS,database.jpg,
ci:00057,PostgreSQL,Ocean Observatory Initiative (OOI),"PostgreSQL is a powerful, open source object-relational database system. It has more than 15 years of active development and a proven architecture that has earned it a strong reputation for reliability, data integrity, and correctness. It runs on all major operating systems, including Linux, UNIX (AIX, BSD, HP-UX, SGI IRIX, Mac OS X, Solaris, Tru64), and Windows. It is fully ACID compliant, has full support for foreign keys, joins, views, triggers, and stored procedures (in multiple languages). It includes most SQL:2008 data types, including INTEGER, NUMERIC, BOOLEAN, CHAR, VARCHAR, DATE, INTERVAL, and TIMESTAMP. It also supports storage of binary large objects, including pictures, sounds, or video. It has native programming interfaces for C/C++, Java, .Net, Perl, Python, Ruby, Tcl, ODBC, among others, and exceptional documentation.",database,data management,operational,,,,,,,,PostgreSQL,database.jpg,
ci:00058,Antelope ORB,,"BRTT Antelope is a real-time execution environment for data acquisition and manipulation processes. It consists of a RTexec scheduler, the Datascope hierachical database and the ORB (Object Ring Buffer) that stores and forwards data packets from producers to consumers. Data acquisition processes can be physically separate from the ORB as long as there is a reliable network. ORBs can be bridged to further ORBs, thereby creating a scalable data acquisition architecture. A substantial set of instrument drivers are existing for the Antelope platform, in particular the sophisticated Quanterra Q330 data logger driver. Antelope is used in the USArray ANL and RoadNet",execution environment,data acquisition,operational,BRTT,http://www.lindquistconsulting.com/antelope.php,http://www.brtt.com/software.,,,ORB (Object Ring Buffer),"US Array ANL, RoadNET",Antelope ORB,database.jpg,http://www.lindquistconsulting.com/antelope.php
ci:00059,GEONETCast,GEOSS,Global network of satellite-based data dissemination systems to distribute data via broadcast.,server application,data acquisition,,GEOSS,,OGC AIP-7 Architecture report,"DVB-S; performance and news service; subscription service, discovery service",,,,GEONETCast,database.jpg,
ci:00060,Sensor web servers,GEOSS,Services to access sensors and sensors networks: e.g.; ground station and associated satellites; and in-situ networks of sensors.,server application,data acquisition,,GEOSS,,OGC AIP-7 Architecture report,"SOS, SPS, SAS",,,,Sensor web servers,database.jpg,
ci:00061,Data Management Middleware,iPlant,"facilities for data federation, data replication, quota management and access control. ",component,data access,,iPlant,,"Goff et al., 2011, The iPlant collaborative:cyberinfrastructure for plant biology: Frontiers in Plant Scinece, www.frontiersin.org, Volume 2, Article 34, doi: 10.3389/fpls.2011.00034.","Custom HTTP API: I/O, Data… others",,,iRODS,Data Management Middleware,dataservice.jpg,
ci:00062,EuroGEOSS Access Broker,GEOSS,mediation tier: facilitates access and use of available resources by making interoperable the heterogeneous access services provided by the GEO different Communities.,component,data access,operational,GEOSS,,OGC AIP-7 Architecture report,"WMS, WFS, WCS, DAP",,,,EuroGEOSS Access Broker,dataservice.jpg,
ci:00063,Federated Storage,iPlant,"Data federation is a method of linking data from two or more physically different locations and making the access appear as if the data was co-located, it allows data to be stored in a simple file format and users will be unaware that this integrated data is in different physical locations.",component,data access,,,,,,,,,Federated Storage,dataservice.jpg,
ci:00064,Globus Transfer,Globus,"an easy to use “fire and forget” data transfer mechanism that can be integrated by developers in their own applications. Globus Transfer provides high performance, secure, third-party data movement and synchronization between endpoints, as well as in-place sharing of data. Globus Transfer handles all the difficult aspects of data transfer, allowing application users to easily start and manage transfers between endpoints, while automatically tuning parameters to maximize bandwidth usage, managing security configurations, providing automatic fault recovery, and notifying users of completion and problems....Users can move data not only between the application and the user, but also between any other Globus endpoints.",component,Data access,,"Computation Institute, University of Chicago, Argonne National Laboratory",https://www.globus.org/platform/services,,HTTP API,,,"Java, Python, web pages",Globus Transfer,dataservice.jpg,https://www.globus.org/platform/services
ci:00065,Data servers,GEOSS,Services to access Earth Observation data. Typically hosted by a facility that provides redundant resources for both high availability and high performance.,server application,Data access,,GEOSS,,OGC AIP-7 Architecture report,"ftp, WMS, WFS, WCS, OPeNDAP",,,,Data servers,dataservice.jpg,
ci:00066,Deegree,World Wide Web (WWW),"deegree is open source software for spatial data infrastructures and the geospatial web. deegree includes components for geospatial data management, including data access, visualization, discovery and security. Open standards are at the heart of deegree. The software is built on the standards of the Open Geospatial Consortium (OGC) and the ISO Technical Committee 211.
It includes the OGC Web Map Service (WMS) reference implementation, a fully compliant Web Feature Service (WFS) as well as packages for Catalogue Service (CSW), Web Coverage Service (WCS), Web Processing Service (WPS) and Web Map Tile Service (WMTS). Since 2000 deegree has been developed by lat/lon, with the strong intention to make it a community-driven project. A major step to this effect was the acceptance to be an OSGeo project in 2010. Today, deegree is maintained by several organisations and individuals with a large user base all around the world.",server application,data access,,Community; LatLong,,,,,,"Java, PostGIS",Deegree,dataservice.jpg,
ci:00067,Live Access Server,World Wide Web (WWW),"The Live Access Server (LAS) is a highly configurable web server designed to provide flexible access to geo-referenced scientific data. It can present distributed data sets as a unified virtual data base through the use of DODS networking. Ferret is the default visualization application used by LAS, though other applications (Matlab, IDL, GrADS, ...) can also be used.  LAS is a specialized Web Application framework for displaying and analyzing Earth Science data, but even so it is built using conventional Web application technology.  List of instances: http://ferret.pmel.noaa.gov/LAS/las-servers",server application,data access,operational,"NOAA/OAR/PMEL
Pacific Marine Environmental Laboratory",http://ferret.pmel.noaa.gov/LAS/,; http://ferret.pmel.noaa.gov/LAS/documentation/introduction/,OpenDAP,,,"Java, Linux",Live Access Server,dataservice.jpg,http://ferret.pmel.noaa.gov/LAS/
ci:00068,Model Access Servers,GEOSS,"Services to access outputs of predictive models of geospatial information, hosted by a simulation and modeling center.",server application,Data access,,GEOSS,,OGC AIP-7 Architecture report,,,,,Model Access Servers,dataservice.jpg,
ci:00069,THREDDS,Unidata,"Data server software, implements OpenDAP, WCS, WMS.  The THREDDS data server provides a web frontend and OpenDAP server. The server catalogs any locally visible dataset and makes them available via the OpenDAP protocol and a web frontend. A great deal of effort has gone into data aggregation and presentation of virtual data sets such as the Forecast Model Run Collection using NCML. The virtual aggregation functionality is a highly desirable feature.",server application,Data access,"operational, widely deployed",Unidata,http://www.unidata.ucar.edu/projects/THREDDS/,,"DAP, WCS, WMS",NetCDF,Common Data Model | custom feature types,Java,THREDDS,dataservice.jpg,http://www.unidata.ucar.edu/projects/THREDDS/
ci:00070,Water OneFlow server,Hydrology information System (HIS),"implements WaterML v1 and water one flow services, uses ODM database as backend",server application,data access,,"HIS, Utah State",,,Water OneFlow,,,,Water OneFlow server,dataservice.jpg,
ci:00071,Searchlight,National Snow and Ice Data Center,"Searchlight is a layered architecture built in Java with a PostGIS data base. It is a robust, extensible infrastructure that can be leveraged by applications to discover and access disparate data types with on-the-fly reprojection, regridding, and reformatting. It was efficiently developed by focusing on reusing open source software, following best practices, and implementing proven design patterns. It reuses many open source libraries and utilities to enable rich functionality. This functionality includes processing and outputting of multiple formats, subsetting, reprojection, free text search, and a Web 2.0 interface. Future reuse of Searchlight components are supported at varying levels, ranging from the database and model components to Web services.  The Searchlight architecture is flexible for future enhancements, maintainable for a long expected life span, and capable of scaling to meet future growth and additional services to meet the changing needs of our user community",web application framework,data access,operational,National Snow and Ice Data Center,http://nsidc.org/searchlight/index.html,,,,,,Searchlight,dataservice.jpg,http://nsidc.org/searchlight/index.html
ci:00072,Africa Soil Information Service Data and Map Portal,Africa Soil Information Service (AfSIS),Entry point for finding and getting AfSIS data,web site,data access,operational,Africa Soil Information Service,http://www.africasoils.net/data/data-portal-home1,,,,,,Africa Soil Information Service Data and Map Portal,dataservice.jpg,http://www.africasoils.net/data/data-portal-home1
ci:00073,Data Pool,Land Processes Distributed Active Archive Center (LP DAAC),"publicly available portion of the LP DAAC online holdings. Data Pool provides a more direct way to access files by foregoing their retrieval from the nearline tape storage devices. All Data Pool holdings are available at no cost to the user.
Available datasets include:
All MODIS data holdings
ASTER Level - 1B data for the U.S. and Territories
ASTER Level - 1A and Level - 1B Expedited data
All WELD data holdings
All NASA SRTM V3.0 data holdings
All ASTER GED data holdings
",web site,data access,,,,,,,,,Data Pool,dataservice.jpg,
ci:00074,LAADS Web,Level 1 and Atmosphere Archive and Distribution System (LAADS),"web interface to the Level 1 and Atmosphere Archive and Distribution System (LAADS). The mission of LAADS is to provide quick and easy access to MODIS Level 1, Atmosphere and Land data products and VIIRS Level 1 and Land data products.  Search, order, and download MODIS Level 1, Atmosphere and Land data products and VIIRS Level 1 and Land data products. Products may also be subset by parameter, area, or band, mosaiced, reprojected, or masked. Visually browse MODIS Level 1, Atmosphere and Land data products.  Access tools to use with MODIS Level 1, Atmosphere and Land data products and VIIRS Level 1 and Land data products.",web site,data access,operational,Goddard Space flight center  NASA,http://ladsweb.nascom.nasa.gov/index.html,,,,,,LAADS Web,dataservice.jpg,http://ladsweb.nascom.nasa.gov/index.html
ci:00075,Mirador,Goddard Earth Sciences Data and Information Services Center (GES DISC),"Mirador is an earth science data search tool developed at the GES DISC for our data users. It has a drastically simplified, clean interface and employs the Google mini appliance for metadata keyword searches. Other features include quick response, spatial and parameter subsetting, data file hit estimator, Gazetteer (geographic search by feature name capability), and an interactive shopping cart.",web site,data access,operational,Goddard Earth Sciences Data and Information Services Center NASA,http://mirador.gsfc.nasa.gov/,,,,,google mini appliance?,Mirador,dataservice.jpg,http://mirador.gsfc.nasa.gov/
ci:00076,PO DAAC HITIDE Subsetter,Physical Oceanography DAAC (PODAAC),"Online tool for subsetting datasets.  The HIgh-level Tool for Interactive Data Extraction (HITIDE) is a web-based interface facilitating the search, imaging, and extraction of select Level 2 ""swath"" datasets from PO.DAAC's archive. HiTIDE's v3.1.x  user interface is powered by a set of Web Services which facilitate machine to machine interoperability.",web site,data access,operational,JPL NASA,http://podaac-tools.jpl.nasa.gov/hitide/,,,,,,PO DAAC HITIDE Subsetter,dataservice.jpg,http://podaac-tools.jpl.nasa.gov/hitide/
