Component Name#info,System,URL#link,Component Description#info,Source,Component Type#multi,Function#multi,Maturity/status,Domain Community#multi,Steward Organization,References-Text#info,Protocols#multi,InterchangeFormats#multi,InputFileFormat#multi,Input parameters#multi,Output file format#multi,InformationModels#multi,Implementation#multi,TimeToLive#info,#name,#img,#href
Activity Type Vocabulary,,http://www.rvdata.us/voc/activitytype,vocabulary listing on a web page (no machine interface?),NotDocumented,Vocabulary,information exchange,Unknown,Ocean Science,Rolling Deck to Repository (R2R),,,,,,,,,,Activity Type Vocabulary,vocabulary.jpg,http://www.rvdata.us/voc/activitytype
ADMS API Vocabulary,,http://vocab.deri.ie/admsapi,This a vocabulary used in the RESTful ADMS Exchange API,NotDocumented,Vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,HTTP API,,,,,,,,ADMS API Vocabulary,vocabulary.jpg,http://vocab.deri.ie/admsapi
Advanced Message Queuing Protocol (AMQP),,http://www.amqp.org,"AMQP enables complete interoperability for messaging middleware, both the networking protocol and the semantics of broker services are defined in AMQP. The AMQP model explicitly defines the server's semantics because interoperability demands the same semantics for any server implementation. To enable technology-neutral interoperability, AMQP defines an efficient wire-level format with modern features. Financial institution focus. Receive, Queue and route messages. ISO/IEC 19464, also an OASIS adopted standard.",Original CIComponent Compilation,Specification,information exchange,Community Standard,,ISO | OASIS,,,,,,,,,,Advanced Message Queuing Protocol (AMQP),globe.jpg,http://www.amqp.org
Advanced Regional Prediction System (ARPS) Vocabularies,,http://www.caps.ou.edu/ARPS/download/code/pub/ARPS.docs/ARPS4DOC.PDF/arpsapxD.pdf,Vocabularies for regional to stormscale atmospheric modeling / prediction. Includes: Global Time-Dependent Prognostic Variable; Time-Dependent Diagnostic Variables Local to Each Time Step; Time-Dependent Diagnostic Variables Not Local to a Single Time Step; Time-Independent Variables; Time-Independent Parameters; Parameters that May Change with Time,NotDocumented,Vocabulary,computation,Operational,Atmosphere,Center for Analysis and Prediction of Storms (CAPS),,human readable,pdf,,,,,,,Advanced Regional Prediction System (ARPS) ,software.png,http://www.caps.ou.edu/ARPS/download/code/pub/ARPS.docs/ARPS4DOC.PDF/arpsapxD.pdf
Africa Soil Information Service Data and Map Portal,Africa Soil Information Service (AfSIS),http://www.africasoils.net/data/data-portal-home1,Entry point for finding and getting AfSIS data,Original CIComponent Compilation,Web site,Data access,Operational,Soil Science,Africa Soil Information Service,,,,,,,,,,Africa Soil Information Service Data and Map Portal,globe.jpg,http://www.africasoils.net/data/data-portal-home1
AgreementMaker,,http://agreementmaker.org/wiki/index.php/AgreementMaker,"user friendly, powerful, and flexible ontology and schema matching system. Last wiki update 2013",Original CIComponent Compilation,Component,information exchange,Operational,Data Systems,"Advances in Information Systems Laboratory, University of Illinois at Chicago",,,"RDFS, OWL, XML",,,,RDF/OWL,Java,,AgreementMaker,globe.jpg,http://agreementmaker.org/wiki/index.php/AgreementMaker
AGRIS Application Profile,,http://www.fao.org/docrep/008/ae909e/ae909e00.htm,"The AGRIS Application Profile for the International Information System on Agricultural Sciences and Technology Guidelines on Best Practices for Information Object Description. The goal of the AGRIS Application Profile (AGRIS AP) is to facilitate interoperability of metadata formats currently in use to enable linking of various types of agricultural information, therefore allowing users to perform cross-searches and other value added services. This approach would also facilitate the harvesting of data from participating countries; with the application of the AGRIS AP model, this harvesting process could be automated.",High level inventory Pivot Viewer,Specification,data management,Conceptual,Agriculture,UN Food and Agricultural Organization,,,,,,,,,,AGRIS Application Profile,globe.jpg,http://www.fao.org/docrep/008/ae909e/ae909e00.htm
AGROVOC,,http://aims.fao.org/standards/agrovoc,"AGROVOC is a controlled vocabulary covering all areas of interest of the Food and Agriculture Organization (FAO) of the United Nations, including food, nutrition, agriculture, fisheries, forestry, environment etc. It is published by FAO and edited by a community of experts. AGROVOC consists of over 32,000 concepts available in 21 languages: Arabic, Chinese, Czech, English, French, German, Hindi, Hungarian, Italian, Japanese, Korean, Lao, Persian, Polish, Portuguese, Russian, Slovak, Spanish, Thai, Turkish and Ukrainian.",NotDocumented,Vocabulary,Data access,Operational,Agriculture,UN Food and Agricultural Organization,,,,,,,,"SKOS-XL, Linked Open Data (LOD)",,AGROVOC,vocabulary.jpg,http://aims.fao.org/standards/agrovoc
Amazon EC2,Ocean Observatory Initiative (OOI),http://aws.amazon.com/,Cloud computing: remote virtual machine environment for Amazon Elastic Cloud.,Original CIComponent Compilation,Cloud Platform,,Operational,,Amazon,,,,,,,,,,Amazon EC2,dataservice.jpg,http://aws.amazon.com/
Amino Acid Racemization (AAR) Data from NOAA,,http://www.ncdc.noaa.gov/paleo/aar.html,"Amino Acid Racemization (AAR) by location submitted by scientists. Most amino acids can have two different configurations, ""D"" or ""L"". Living organisms generally have amino acids in the ""L"" configuration, but when the organism dies, the ratio of D/L moves slowly toward equilibrium, a process called racemization. Measuring the ratio of D/L in a geologic sample containing preserved amino acids can therefore allow calculations of the age of the sample (Source: NOAA)",NotDocumented,Database,Data access,Operational,Geochronolgy,NOAA National Oceanographic Data Center,,,txt | pdf,,,,,,,Amino Acid Racemization (AAR) Data from NOAA,database.jpg,http://www.ncdc.noaa.gov/paleo/aar.html
AMMA Data Catalogue,,http://catalogue.amma-international.org/,"Catalog of geodesy information of West Africa and Gulf of Guinea. The AMMA project includes in situ measurements at many locations of West Africa and in the Gulf of Guinea, an intensive use of satellite data and diverse modelling studies. Therefore, the AMMA database aims at storing a great amount and a large variety of data, and at providing the data as rapidly and safely as possible to the AMMA research community. In order to stimulate the exchange of information and collaboration between researchers from different disciplines or using different tools, the database provides a detailed description of the products and uses standardized formats. The database is now developed jointly at MEDIAS-France in Toulouse and at IPSL in Paris, and will be mirrored in Niamey as early as 2008.",NotDocumented,Catalog,data storage,Unknown,Geodesy,African Monsoon Multidisciplinary Analysis,,,,,,,,,,AMMA Data Catalogue,icon_catalog.jpg,http://catalogue.amma-international.org/
Annotation CReatiON for Your Media (ACRONYM) Ontology,,http://vocab.deri.ie/acronym,"Ontology for describing wireless devices at the time that they function in the creation of a resource. The Annotation CReatiON for Your Media (ACRONYM) ontology's purpose is to lend context from the real-world (Ambient Intelligence) to the creation of resources. More specifically, it can be used to capture the presence of relevant wireless devices at the time of resource creation. This ontology's original purpose is to be integrated with other ontologies from social networking, multimedia, geography and context-awareness to aid the semi-automatic annotation of media, but more generally it can be used for Ambient Intelligence applications. For example, it can be used to capture the unique Bluetooth addresses of devices near a cameraphone at the time of photograph capture and later link those addresses to the people that own those devices. Alternatively, it can be used to track the RFID addresses of products in a factory and update their status in an information system. The ontology is open to and welcomes extension with various other types of wireless addressing protocols/formats and application-specific semantics.",NotDocumented,Vocabulary,Data access,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,Annotation CReatiON for Your Media (ACRONYM) Ontology,vocabulary.jpg,http://vocab.deri.ie/acronym
Annotopia,World Wide Web (WWW),https://github.com/Annotopia/Annotopia,"Open Annotation services platform. Universal annotation hub, collections of modules that provide services for creating, persisting, searching and enriching annotation. OpenAnnotation compliant. NIF and BioPortal connectors. Aggregate annotation and provide through single information exchange. Defines an OpenAnnotation RESTful API.",Original CIComponent Compilation,Cloud Platform,annotation,Operational,,Architected and developed by Dr. Paolo Ciccarese. Annotopia is a product of the MIND Informatics group - at Massachusetts General Hospital - directed by Tim Clark. http://www.slideshare.net/paolociccarese/annotopia-overview-by-paolo-ciccarese,,HTTP API,JSON-LD,,,,W3C Open Annotation,"Jena, Virtuoso, JSON-LD internal objects, Spring Security, OpenID, OpenAuth",,Annotopia,dataservice.jpg,https://github.com/Annotopia/Annotopia
Antarctic and Southern Ocean Data Portal (ASODS),,http://www.marine-geo.org/portals/antarctic/,"The Antarctic & Southern Ocean Data Portal provides access to geoscience data from the Antarctic region, primarily acquired with the R/Vs Nathaniel B. Palmer and Laurence M. Gould. Seafloor bathymetry, subbottom profiling, trackline gravity and magnetics, meteorological, and water column data as well as basic cruise information for all Palmer and Gould expeditions is available through this data portal. MGDS also processes and quality assures ship-based multibeam bathymetry data acquired on the Palmer for integration into the Global Multi-Resolution Topography (GMRT) Synthesis, a gridded compilation of seafloor bathymetry data can be accessed through GeoMapApp, GMRT MapTool and through an OGC-compliant Web Map Service. GeoMapApp can also be used to access additional regional bathymetric grids, seismic, radar, gravity and magnetics profiles as well as other map and grid compilations for the Antarctic continent including LIMA. The US Antarctic Program Data Coordination Center (USAP-DCC) is also hosted as part of the MGDS to help scientists find Antarctic scientific data of interest and to submit their data for curation and long term preservation in accordance with their obligations under the NSF Division of Polar Programs Guidelines for Scientific Data. Member of the NSF Antarctic & Arctic Data Consortium. (http://www.marine-geo.org/portals/antarctic/)",High level inventory Pivot Viewer,Web site,Data access,,Marine Geoscience,Integrated Earth Data Applications,,,,,,,,,,Antarctic and Southern Ocean Data Portal (ASODS),globe.jpg,http://www.marine-geo.org/portals/antarctic/
Antarctic Master Directory (AMD),International Directory Network (IDN),http://idn.ceos.org/portals/Home.do?Portal=amd&MetadataType=0; WFS to search directory: http://www.usap-data.org/exe/mapserv?map=/public/mgg/web/www.usap-data.org/htdocs/services/ogc.map&service=wfs&version=1.0.0&request=getcapabilities,Global Change Master Directory portal for Antarctic data,Original CIComponent Compilation,Web site,Discovery,Operational,Polar Science,NASA GCMD CEOS,,WFS,XML,,,,,,,Antarctic Master Directory (AMD),globe.jpg,http://idn.ceos.org/portals/Home.do?Portal=amd&MetadataType=0; WFS to search directory: http://www.usap-data.org/exe/mapserv?map=/public/mgg/web/www.usap-data.org/htdocs/services/ogc.map&service=wfs&version=1.0.0&request=getcapabilities
Antarctic Meteorological Research Center Repository for Archiving and Managing and Accessing Diverse Data (AMRC RAMADDA),,https://amrc.ssec.wisc.edu/repository,currently contains no content...,NotDocumented,Data Access,,,Climatology,Antarctic Meteorological Research Center,,,,,,,,,,Antarctic Meteorological Research Center Repository for Archiving and Managing and Accessing Diverse Data (AMRC RAMADDA),dataservice.jpg,https://amrc.ssec.wisc.edu/repository
ANTARES,Fixed point Open Ocean Observatory network (FixO3),http://www.fixo3.eu/observatory/antares/,"Multidisciplinary, permanent marine observatory providing high-bandwidth real-time data transmission from deep-sea for geosciences and marine environmental sciences. Site is part of the MOOSE network providing real-time data transmission through two deep cabled moorings. These moorings are complemented by stand-alone mooring near the junction box. Physical and biogeochemical parameters recorded by autonomous sensors with regular maintenance. In addition monthly ship occupation for CTD profiles and seawater collection. Cabled extension of the neutrino telescope is offering connectors for direct link to shore in addition to operational seismometer already in place.",High level inventory Pivot Viewer,Platform,data acquisition,Operational,Ocean Science,CNRS-IFREMER-CPPM,,,ASCII NetCDF,,,,,,,ANTARES,globe.jpg,http://www.fixo3.eu/observatory/antares/
Antelope ORB,,"http://www.brtt.com/software.html 
http://www.lindquistconsulting.com/antelope.php","BRTT Antelope is a real-time execution environment for data acquisition and manipulation processes. It consists of a RTexec scheduler, the Datascope hierachical database and the ORB (Object Ring Buffer) that stores and forwards data packets from producers to consumers. Data acquisition processes can be physically separate from the ORB as long as there is a reliable network. ORBs can be bridged to further ORBs, thereby creating a scalable data acquisition architecture. A substantial set of instrument drivers are existing for the Antelope platform, in particular the sophisticated Quanterra Q330 data logger driver. Antelope is used in the USArray ANL and RoadNet",Original CIComponent Compilation,Execution environment,data acquisition,Operational,Environmental science,BRTT,,,,,,,ORB (Object Ring Buffer),"US Array ANL, RoadNET",,Antelope ORB  ,globe.jpg,"http://www.brtt.com/software.html 
http://www.lindquistconsulting.com/antelope.php"
ANZ-MEST - Metadata Entry and Search Tool,,http://bluenetdev.its.utas.edu.au/download/bluenetmest.html,"provides information about the identification, the extent, the quality, the spatial and temporal schema, spatial reference, and distribution of digital geographic data.",High level inventory Pivot Viewer,Application,DCC,Unknown,Generic,Digital Curation Centre,,,,,,,,,,ANZ-MEST - Metadata Entry and Search Tool,globe.jpg,http://bluenetdev.its.utas.edu.au/download/bluenetmest.html
ANZLIC Metadata Profile,,http://www.anzlic.gov.au/resources/anzlic_metadata_profile,"PDF or Doc files that describe the ANZLIC standard for spatial metadata. The ANZLIC Metadata Profile adopts established Australian / New Zealand and International Standards. Widespread adoption of the Profile will facilitate interoperability within and between agencies and jurisdictions, both within the region and internationally, by providing a consistent basis for communicating information about resources.",High level inventory Pivot Viewer,Specification,DCC,Conceptual,Generic,Digital Curation Centre,,,,,,,,,,ANZLIC Metadata Profile,globe.jpg,http://www.anzlic.gov.au/resources/anzlic_metadata_profile
Apache ZooKeeper,Ocean Observatory Initiative (OOI),"http://zookeeper.apache.org/"",""http://zookeeper.apache.org/ |

https://cwiki.apache.org/confluence/display/ZOOKEEPER/ProjectDescription","ZooKeeper is a high-performance coordination service for distributed applications. ZooKeeper is a centralized service for maintaining configuration information, naming, providing distributed synchronization, and providing group services. All of these kinds of services are used in some form or another by distributed applications. Each time they are implemented there is a lot of work that goes into fixing the bugs and race conditions that are inevitable. Because of the difficulty of implementing these kinds of services, applications initially usually skimp on them ,which make them brittle in the presence of change and difficult to manage. Even when done correctly, different implementations of these services lead to management complexity when the applications are deployed. We have Java and C interfaces to Zoo Keeper for the applications themselves. A variety of client bindings is available for a number of languages including Python, Ruby and Go.",Original CIComponent Compilation,Cloud Platform,virtual machine deployment,Operational,Generic,Apache Software Foundation,,,,,,,,,,Apache ZooKeeper,dataservice.jpg,"http://zookeeper.apache.org/"",""http://zookeeper.apache.org/ |

https://cwiki.apache.org/confluence/display/ZOOKEEPER/ProjectDescription"
Application Metadata (AM) vocabulary,,http://vocab.deri.ie/am,"A vocabulary to describe (Web) applications, to be used together with DOAP.",NotDocumented,Vocabulary,information exchange,Unknown,Generic,Digital Enterprise Research Institute,,,,,,,,,,Application Metadata (AM) vocabulary,vocabulary.jpg,http://vocab.deri.ie/am
ArcGIS,Desktop MS Windows,http://www.arcgis.com/features/,Desktop GIS platform,Original CIComponent Compilation,Desktop application,geographic information management,Operational,,ESRI,,WMS |�WFS |�WCS | ESRI REST |�ArcObjects API,,,,,,"C#, compiled, closed source",,ArcGIS,package-x-generic.png,http://www.arcgis.com/features/
ArcGIS online,World Wide Web (WWW),https://www.arcgis.com/home/,Geographic data and visualization cloud platform,Original CIComponent Compilation,Cloud Platform,geographic information management,Operational,,,,ESRI REST,,,,,,,,ArcGIS online,dataservice.jpg,
ASPEN,Ocean Observatory Initiative (OOI),http://ai.jpl.nasa.gov/public/projects/aspen/,ASPEN is an interactive/batch mode mission planning tool. It takes a constraint model of resources and the environment in the context of state conditions and possible actions/activities. It determines a constraint solution that is optimized. It produces a schedule of activities that fulfill the input activities most optimally,Original CIComponent Compilation,Component,workflow management,Operational,,NASA JPL,,,,,,,,,,ASPEN,globe.jpg,http://ai.jpl.nasa.gov/public/projects/aspen/
Atmosphere,iPlant,http://www.iplantcollaborative.org/ci/atmosphere,"Provides users with an image of a virtual machine, which is a completely isolated operating system (Smith and Nair, 2005). iPlant provides many different types of virtual machine images, from basic Linux to Linux with complex analytical software stacks preinstalled and configured. Running instances may be modified and used to create new images for sharing additional software stacks. provides infrastructure, platform or software as a service. ""Atmosphere is iPlant's cloud service that lets you 
launch your own isolated virtual working environment and software. Use 
Atmosphere's web interface to get computing resources, such as 
iPlant-provided software suites, in a virtual machine (VM). If you want 
to publish your own software suites, you can create your own work 
environment in Atmosphere and run your own software for community use. 
You can use Atmosphere as a gateway to access the iPlant's core 
infrastructure resources, including high performance computing (HPC), 
grid computing environments, and the iPlant Data Store."" (http://www.iplantcollaborative.org/ci/atmosphere)",Original CIComponent Compilation,Cloud Platform,virtual machine deployment,Operational,,iPlant,"Goff et al., 2011",HTTP API,,,,,,Django,,Atmosphere,dataservice.jpg,
auditing service,iPlant,http://www.iplantcollaborative.org/ci/atmosphere,Allows the tracking of resource use and access patterns by iPlant.,Original CIComponent Compilation,API,usage monitoring,Operational,,iPlant,"Goff et al., 2011",,,,,,,,,auditing service,globe.jpg,
Audubon Core Multimedia Resources Metadata Schema,,http://www.tdwg.org/standards/638/,"Drafted metadata vocabulary for biodiversity resources. The Audubon Core metadata schema (AC) is a representation-neutral metadata vocabulary for describing biodiversity-related multimedia resources and collections.Multimedia Resources are digital or physical artifacts which normally comprise more than text. These include pictures, artwork, drawings, photographs, sound, video, animations, presentation materials, interactive online media including identification tool packages involving text and other media. A multimedia collection is an assemblage of such objects whether curated or not and whether electronically accessible or not. For the purposes of this schema we regard a collection of multimedia resources itself as a 'multimedia resource'. Multimedia descriptions are digital records that document underlying multimedia resources. Audubon Core is focused on biodiversity-related multimedia resources. It shares terminology and concerns with many well known and important standards for describing access to resources such as Dublin Core(DC), Darwin Core (DwC), the Adobe Extensible Metadata Platform (XMP), the International Press and Telecommunications Council (IPTC) the Metadata Working Group (MWG) schema, the Natural Collections Schema (NCD), and others. Where there is an exact match to concerns of such standards, Audubon Core adopts their identifiers and definitions. Audubon Core particularly intends to ease the burden of holders of descriptions specified either by DwC or DC by allowing use of those existing descriptions where appropriate.",High level inventory Pivot Viewer,Specification,data presentation,Conceptual,Biology,Biodiversity Information Standards (TDWG),,,,,,,,,,Audubon Core Multimedia Resources Metadata Schema,globe.jpg,http://www.tdwg.org/standards/638/
Australian Ocean Data Network (AODN) Portal,,http://portal.aodn.org.au/aodn/,"Data portal for several Australian Oceanography institutes. Offers map interface, with several layers and the ability to add WMS layers, or catalog search. This portal is the primary access point for search, discovery, access and download of data collected by the Australian marine community. Primary datasets are contributed by the Integrated Marine Observing System (IMOS) an Australian Government Research Infrastructure project, and the six Commonwealth Agencies with responsibilities in the Australian marine jurisdiction (Australian Antarctic Division, Australian Institute for Marine Science, Bureau of Meteorology, Commonwealth Science and Industrial Research Organisation, Geoscience Australia and the Royal Australian Navy) (Source: AODN Portal)",High level inventory Pivot Viewer,Web site,Data access,Operational,Ocean Science,Integrated Marine Observing System,,,,,,,,,,Australian Ocean Data Network (AODN) Portal,globe.jpg,http://portal.aodn.org.au/aodn/
Authenticator,Ocean observatory initiative (OOI),http://oceanobservatories.org/,"The Ocean Observatories Initiative (OOI) will construct a networked infrastructure of science-driven sensor systems to measure the physical, chemical, geological and biological variables in the ocean and seafloor. Greater knowledge of these variables is vital for improved detection and forecasting of environmental changes and their effects on biodiversity, coastal ecosystems and climate. The OOI, a project funded by the National Science Foundation,
 is planned as a networked infrastructure of science-driven sensor 
systems to measure the physical, chemical, geological and biological 
variables in the ocean and seafloor. The OOI will be one fully 
integrated system collecting data on coastal, regional and global 
scales. The OOI Program is managed and coordinated by the OOI Project 
Office at the Consortium for Ocean Leadership,
 in Washington, D.C., and is responsible for construction and initial 
operations of the OOI network. �Three major Implementing Organizations 
are responsible for construction and development of the overall program.
 Woods Hole Oceanographic Institution and its partners, Oregon State University and Scripps Institution of Oceanography are responsible for the coastal and global moorings and their autonomous vehicles. The University of Washington is responsible for cabled seafloor systems and moorings. The University of California, San Diego, is implementing the cyberinfrastructure component. Rutgers, The State University of New Jersey, with its partners University of Maine and Raytheon Mission Operations and Services, is responsible for the education and public engagement software infrastructure. (http://oceanobservatories.org/about/)",Original CIComponent Compilation,Component,authentication,Planned,,,,,,,,,,planned?,,Authenticator,globe.jpg,
